$(OWNED)	(ЕСТЬ)
$Season_Lock_PreRequisiteRewardForPageAndMinRank	Чтобы разблокировать эту страницу, требуются {1} и {2}-й уровень
$Season_Lock_PreRequisiteRewardForPageAndClaim	Чтобы разблокировать эту страницу, требуются {1} и {2}
$Season_Lock_PreRequisiteRewardForPageAndMinRankAndClaim	Чтобы разблокировать эту страницу, требуются {1}, {2}-й уровень и еще не менее {3} наград сезона
$Season_Lock_PreRequisiteRewardForPageAndMinRankOrClaim	Чтобы разблокировать эту страницу, требуются {1}, {2}-й уровень или еще не менее {3} наград сезона
$SecondaryAttack	Прицеливание/блокирование
$SecondsAbbrev	сек.
$SecureTrade_Accessibility_Decline	отказывается от обмена. Причина: {1}
$SecureTrade_Accessibility_DeclineItemOpened	Отказаться от предмета
$SecureTrade_AssignFail_InvalidData	Не удалось получить данные торгового автомата с сервера.
$SecureTrade_AssignFail_MovingToStash	Этот предмет разместить нельзя. Он будет перемещен в ящик с припасами.
$SecureTrade_AssignFail_SlotsFull	Все ячейки назначения заполнены.
$SecureTrade_DontWant	Мне это не нужно
$SecureTrade_DontWantType	Не тот тип
$SecureTrade_InsertItem	НАЗНАЧИТЬ
$SecureTrade_ItemSetToAMachine	ПРЕДМЕТ НАХОДИТСЯ В УСТРОЙСТВЕ ({1})
$SecureTrade_ItemSetToAnotherCampMachine	ПРЕДМЕТ ИСПОЛЬЗУЕТСЯ В НЕАКТИВНОЙ C.A.M.P.
$SecureTrade_ItemSetToAnotherMachine	ПРЕДМЕТ НАХОДИТСЯ В ДРУГОМ УСТРОЙСТВЕ ({1})
$SecureTrade_ItemSetToThisMachine	ПРЕДМЕТ НАХОДИТСЯ В ЭТОМ УСТРОЙСТВЕ ({1})
$SecureTrade_ItemSlotCounts	({1}/{2})
$SecureTrade_ItemSlotTypeAndCounts	{1} ({2}/{3})
$SecureTrade_ItemSetToYourAlly	ПРЕДМЕТ НАХОДИТСЯ У СОЮЗНИКА
$SecureTrade_ItemSetToYourPet	ПРЕДМЕТ ИСПОЛЬЗУЕТСЯ ПИТОМЦЕМ
$SecureTrade_LegendaryVendingMachineHint	ОБМЕН. ЛЕГЕНД. ПРЕДМЕТЫ НА СЕРТИФИКАТ
$SecureTrade_LessOfThis	Меньше этого
$SecureTrade_MachineTypeDispenser	РАЗДАТЧИК
$SecureTrade_MachineTypeDisplay	ВИТРИНА
$SecureTrade_MachineTypeFermenter	БРОДИЛЬНЫЙ ЧАН
$SecureTrade_MachineTypeFreezer	ХОЛОДИЛЬНИК
$SecureTrade_MachineTypeRecharger	ЗАРЯДНОЕ УСТРОЙСТВО
$SecureTrade_MachineTypeRefrigerator	ХОЛОДИЛЬНИК
$SecureTrade_MachineTypeVendingMachine	ТОРГОВЫЙ АВТОМАТ
$SecureTrade_MaxCurrencyWarning	Внимание: вы получите {1} {2} за эту продажу из-за достижения максимальной суммы.
$SecureTrade_MaxCurrencyWarningDifference	Внимание: вы получите только {1} {2} за эту продажу из-за достижения максимальной суммы.
$SecureTrade_MoreOfThis	Больше этого
$SecureTrade_NotEnoughCaps	Не хватает крышек
$SecureTrade_PossumVendingMachineHint	ОБМЕН. ЗНАЧКИ "БАРСУКОВ" НА ЭТИ ПРЕДМЕТЫ
$SecureTrade_PriceTooHigh	Слишком дорого
$SecureTrade_RemoveDisplayedItem	ОТМЕНИТЬ НАЗНАЧЕНИЕ
$SecureTrade_SlotHeader_Ally	СНАРЯЖЕНИЕ СОЮЗНИКА
$SecureTrade_SlotHeader_AllyStats	Снаряжение союзника может быть только косметическим 
$SecureTrade_SlotHeader_Dispenser	ЯЧЕЕК РАЗДАТЧИКА ИСПОЛЬЗОВАНО
$SecureTrade_SlotHeader_DisplayCase	ЯЧЕЕК ВИТРИНЫ ИСПОЛЬЗОВАНО
$SecureTrade_SlotHeader_Fermenter	ЯЧЕЕК БРОДИЛЬНОГО ЧАНА ИСПОЛЬЗОВАНО
$SecureTrade_SlotHeader_Freezer	ЯЧЕЕК ХОЛОДИЛЬНИКА ИСПОЛЬЗОВАНО
$SecureTrade_SlotHeader_Mannequin	СНАРЯЖЕНИЕ НА МАНЕКЕНЕ
$SecureTrade_SlotHeader_MannequinInfo	Выберите предметы для размещения 
$SecureTrade_SlotHeader_Pet	СНАРЯЖЕНИЕ ПИТОМЦА
$SecureTrade_SlotHeader_PetStats	Снаряжение питомца может быть только косметическим
$SecureTrade_SlotHeader_Recharger	ЯЧЕЕК ДЛЯ ЗАРЯДКИ ИСПОЛЬЗОВАНО
$SecureTrade_SlotHeader_Refrigerator	ЯЧЕЕК ХОЛОДИЛЬНИКА ИСПОЛЬЗОВАНО
$SecureTrade_SlotHeader_VendingMachine	ЯЧЕЕК ТОРГОВОГО АВТОМАТА ИСПОЛЬЗОВАНО
$SecureTrade_SlotTooltip_Dispenser	ВЫБЕРИТЕ ПРЕДМЕТЫ ИЗ ЯЩИКА ДЛЯ ПРИПАСОВ, КОТОРЫЕ НУЖНО ПОМЕСТИТЬ В РАЗДАТЧИК
$SecureTrade_SlotTooltip_Ally	ПЕРЕДАТЬ ПРЕДМЕТЫ ИЗ ТАЙНИКА СОЮЗНИКУ
$SecureTrade_SlotTooltip_DisplayCase	ВЫБЕРИТЕ ПРЕДМЕТЫ ИЗ ЯЩИКА ДЛЯ ПРИПАСОВ, КОТОРЫЕ НУЖНО ВЫСТАВИТЬ НА ВИТРИНУ
$SecureTrade_SlotTooltip_Fermenter	ВЫБЕРИТЕ ПРЕДМЕТЫ ИЗ ЯЩИКА ДЛЯ ПРИПАСОВ, КОТОРЫЕ НУЖНО ПОМЕСТИТЬ В БРОДИЛЬНЫЙ ЧАН
$SecureTrade_SlotTooltip_Freezer	ВЫБЕРИТЕ ИЗ ЯЩИКА ДЛЯ ПРИПАСОВ ПРЕДМЕТЫ, КОТОРЫЕ НУЖНО ЗАМОРОЗИТЬ
$SecureTrade_SlotTooltip_Pet	ВЫБЕРИТЕ ПРЕДМЕТЫ ДЛЯ ПЕРЕДАЧИ ПИТОМЦУ
$SecureTrade_SlotTooltip_Recharger	ВЫБЕРИТЕ ИЗ ЯЩИКА ДЛЯ ПРИПАСОВ ПРЕДМЕТЫ, КОТОРЫЕ НУЖНО ЗАРЯДИТЬ
$SecureTrade_SlotTooltip_Refrigerator	ВЫБЕРИТЕ ПРЕДМЕТЫ ИЗ ЯЩИКА ДЛЯ ПРИПАСОВ, КОТОРЫЕ НУЖНО ПОМЕСТИТЬ В ХОЛОДИЛЬНИК
$SecureTrade_SlotTooltip_VendingMachine	ВЫБЕРИТЕ ПРЕДМЕТЫ ИЗ ЯЩИКА ДЛЯ ПРИПАСОВ, КОТОРЫЕ НУЖНО ВЫСТАВИТЬ НА ПРОДАЖУ
$SecureTrade_SlotTooltip_VendingMachineLegendary	ВЫКУПИТЬ ЭТОТ ПРЕДМЕТ С ПОМОЩЬЮ СЕРТИФИКАТА
$SecureTrade_TadpoleVendingMachineHint	ОБМЕН. ЗНАЧКИ "ГОЛОВАСТИКОВ" НА ЭТИ ПРЕДМЕТЫ
$SecureTrade_ToggleShowMarked_ShowAll	ПОКАЗАТЬ ВСЕ
$SecureTrade_ToggleShowMarked_ShowMarkedAndStash	ПОКАЗАТЬ ОТМЕЧЕННЫЕ + ЯЩИК ДЛЯ ПРИПАСОВ
$SecureTrade_ToggleShowMarked_ShowMarkedOnly	ПОКАЗАТЬ ТОЛЬКО ОТМЕЧЕННЫЕ
$SecureTrade_TransferDisplayItemInactiveCampConfirm	Этот предмет используется в неактивной C.A.M.P. Вынув его из тайника, вы удалите его из всех C.A.M.P. Продолжить?
$SecureTradeSlotsModal_SlotsFull	ЯЧЕЙКИ ЗАПОЛНЕНЫ
$SEEK REVENGE	ОТОМСТИТЬ
$SEEKINGREVENGE	ОТОМСТИТЕ!
$Select	ВЫБРАТЬ
$SELECT	ВЫБРАТЬ
$SELECT CHARACTER	ВЫБОР ПЕРСОНАЖА
$SELECT FILTERS	ВЫБОР ФИЛЬТРОВ
$SELECT RESPAWN LOCATION	ВЫБОР МЕСТА ВОЗРОЖДЕНИЯ
$SELECT STRUCTURE	ВЫБОР ПОСТРОЙКИ
$SELECTICON	ВЫБРАТЬ ЗНАЧОК
$SelectL	Выбрать
$SELECTEXPEDITIONLOCATION	ВЫБРАТЬ ЛОКАЦИЮ
$SELECTSPAWNPOINT	ВЫБРАТЬ МЕСТО РАЗМЕЩЕНИЯ
$SELECTTAGS	ВЫБЕРИТЕ ДО 3 МЕТОК
$SELECTTARGET	ВЫБОР ЦЕЛИ
$SELL	ПРОДАТЬ
$SELLITEM	ПРОДАТЬ ПРЕДМЕТ
$SEND	ОТПРАВИТЬ
$SendMessage	ОТПРАВИТЬ СООБЩЕНИЕ
$ServerPrompt_Base_Maintenance	Игровые сервисы отключат для проведения техобслуживания.
$ServerPrompt_Base_Malfunction	Пожалуйста, перейдите в другой мир. Этот мир будет отключен на техобслуживание.
$ServerPrompt_Base_Stale	Новые миры уже доступны. Присоединитесь к другому миру, чтобы получить обновления.
$ServerPrompt_Heading	Отключение неизбежно
$ServerPrompt_Private_No_FO1_Members	В этом закрытом мире нет участников клуба Fallout 1st. Оставшиеся игроки будут отключены.
$ServerPrompt_WorldType_Disabled	Этот режим игры отключен на время проведения технического обслуживания.
$SetBonusGlyph	½
$SetBonusGlyph_Active	¹
$SET_ACTIVE	АКТИВИРОВАТЬ
$SETFEATUREDPHOTO	ВЫБРАТЬ ГЛАВНЫЙ СНИМОК
$SETITEMLEVEL	ЗАДАТЬ УРОВЕНЬ ПРЕДМЕТА
$SETITEMPRICE	ЗАДАТЬ ЦЕНУ ПРЕДМЕТА
$SETPRICEPERITEM	ЗАДАТЬ СТОИМОСТЬ ОДНОГО ПРЕДМЕТА
$SETQUANTITY	ЗАДАТЬ КОЛИЧЕСТВО	
$SET_DEFAULT	УСТАНОВИТЬ ПО УМОЛЧАНИЮ
$SET_ALL_DEFAULT	УСТАНОВИТЬ ВСЕ ЗНАЧЕНИЯ ПО УМОЛЧАНИЮ
$SettingNotNuclearWinter	Не используется в Nuclear Winter
$SettingOnlyNuclearWinter	Используется только в Nuclear Winter
$SettingShowSharedQuestsHUD	Отображать общие задания в интерфейсе.
$Settings	Настройки
$SETTINGS	Настройки
$Settings: Audio	Настройки: аудио
$Settings: Display	Настройки: видео
$Settings: Gameplay	Настройки: игра
$SEX	ПОЛ
$Shadow Distance	Дист. отрисовки теней
$ShadowQuality	Качество теней
$SHARE	ПОДЕЛИТЬСЯ
$SHARE_W_TEAM	ПОКАЗАТЬ КОМАНДЕ
$SHARED_PERKS	ОБЩИЕ СПОСОБНОСТИ:
$SHARED QUESTS	ОТКРЫТО
$SHARED_WITH_ADVENTURE	ОБЩИЙ ПРОГРЕСС С РЕЖИМОМ ПРИКЛЮЧЕНИЯ
$SHARING	[ОТКРЫТИЕ]
$Shield_System	Система ультрагенетического щита
$Shelters_AtMaxCellInstanceCount	В этом мире достигнут максимум разрешенных укрытий! Повторите попытку позже.
$Shelters_RemovedInvalidItems	Некоторые предметы из вашего укрытия удалены, и их больше нельзя поставить в укрытиях.
$SheltersPlayerEntered	{1} входит в ваше {2}.
$SheltersPlayerExited	{1} покидает ваше {2}.
$ShelterPvPTutorialMessage	Режим пацифиста выключен. PvP-взаимодействия и поражения теперь будут происходить внутри укрытий.
$ShelterToggleWorkshopSnappingOn	РЕЖИМ СВЯЗИ (ВКЛ)
$ShelterToggleWorkshopSnappingOff	РЕЖИМ СВЯЗИ (ВЫКЛ)
$ShortTimeDays	{time} д.
$ShortTimeHours	{time} ч.
$ShortTimeMinutes	{time} мин.
$ShortTimeSeconds	{time} сек.
$SHOW	ПОКАЗАТЬ
$Show Active Effects On HUD	Показывать эффекты в интерфейсе
$Show All Saves	Показать все сохранения
$Show Damage Numbers (Adventure)	Показать данные об уроне ("Приключение")
$Show Damage Numbers (Nuclear Winter)	Показать данные об уроне (Nuclear Winter)
$Show Damage Numbers (Survival)	Показать данные об уроне ("Выживание")
$SHOW EFFECTS	ПОКАЗАТЬ ЭФФЕКТЫ
$Show Floating Markers	Отображать метки
$Show Floating Quest Text	Отображать текст задания
$ShowInPipBoy	ПОКАЗАТЬ В ПИП-БОЕ
$Show Item Rarity Colors	Показывать цвет редкости предметов
$Show on Map	ПОКАЗАТЬ НА КАРТЕ
$ShowOtherPlayersNames	Показать имена других игроков
$ShowOtherPlayersPings	Показывать сигналы других игроков
$Show Player	Показать игрока
$SHOW UNOWNED CARDS	ПОКАЗАТЬ НЕПРИОБРЕТЕННЫЕ КАРТЫ
$SHOW_HISTORY	ПОКАЗАТЬ ИСТОРИЮ
$SHOWALL	ПОКАЗАТЬ ВСЕ
$ShowCaravans	ПОКАЗАТЬ ЛИНИИ СНАБЖЕНИЯ
$SHOWOWNEDITEMS	ПОКАЗАТЬ ПРИОБРЕТЕННОЕ
$SHOWPASSWORD	ПОКАЗАТЬ ПАРОЛЬ
$ShowQuestSummary	ПОКАЗАТЬ ПОДРОБНОСТИ
$ShowSharedQuestsHUD	Показать задания лидера команды
$ShowMuzzleFlashes	Показывать эффекты дульных вспышек
$ShowWeaponImpactEffects	Показывать эффекты ударов оружием, которое не стреляет взрывчаткой
$ShowWorkshopWeatherOverride	Показать погоду в C.A.M.P.
$ShowIntenseWeatherEffects	Показывать эффекты экстремальной погоды
$SHRINK	УМЕНЬШИТЬ
$SIGN IN	ВОЙТИ
$Sign Up for An Account	Зарегистрироваться
$SignalStrength	Уровень сигнала: {1}%
$SimpleTimeDay	{time} день
$SimpleTimeDays	{time} д.
$SimpleTimeHour	{time} час
$SimpleTimeHours	{time} ч.
$SimpleTimeMinute	{time} мин.
$SimpleTimeMinutes	{time} мин.
$SimpleTimeSecond	{time} сек.
$SimpleTimeSeconds	{time} сек.
$Sit	Сесть
$SIZE	ЛИМИТ
$SKIN TONE	ЦВЕТ КОЖИ
$SKIP	ПРОПУСТИТЬ
$SleepPrompt	Проспать
$SLIDE	РЕГУЛИРОВАТЬ
$SLOTITEM	ПРЕДМЕТ ЯЧЕЙКИ
$SLOW	МЕДЛ
$Sneak	Скрытность
$SOCIAL	ОБЩЕНИЕ
$SocialContextMenuAcceptTeamInviteNewWorld	Вступить в команду
$SocialContextMenuAcceptTeamInviteSameWorld	Вступить в команду
$SocialContextMenuChangePublicTeamType	Изменить цель команды
$SocialContextMenuConvertTeamToPublic	Сделать команду публичной
$SocialContextMenuInviteToTeamNewWorld	Пригласить в команду
$SocialContextMenuInviteToTeamSameWorld	Пригласить в команду
$SocialContextMenuJoinPublicTeam	Присоединиться
$SocialContextMenuMutePings	Заглушить сигналы
$SocialContextMenuReportAccount	Пожаловаться на игрока
$SocialContextMenuUnmutePings	Не заглушать сигналы
$SocialContextMenuWorldDetails	Сведения о мире
$SocialErrorContextMenuAcceptFriendInvite	Не удалось принять приглашение друга.
$SocialErrorContextMenuAcceptTeamInvite	Не удалось принять приглашение в команду.
$SocialErrorContextMenuAddFriend	Не удалось добавить друга.
$SocialErrorContextMenuBlock	Не удалось заблокировать игрока.
$SocialErrorContextMenuIgnoreFriendInvite	Не удалось проигнорировать приглашение друга.
$SocialErrorContextMenuInviteToTeam	Не удалось пригласить в команду.
$SocialErrorContextMenuJoin	Не удалось подключиться к серверу.
$SocialErrorContextMenuKick	Не удалось удалить игрока из команды.
$SocialErrorContextMenuLeaveTeam	Не удалось покинуть команду.
$SocialErrorContextMenuPromoteTeammate	Не удалось повысить товарища по команде.
$SocialErrorContextMenuReconnect	Не удалось заново подключиться к команде.
$SocialErrorContextMenuRemoveFriend	Не удалось удалить друга.
$SocialErrorGroupMatchmaking	Возникла проблема во время подбора группы. Повторите попытку или обратитесь в службу поддержки Bethesda, если проблема не исчезнет.
$SocialErrorJoinAsTeamNumber	Вы должны пригласить хотя бы одного игрока.
$SocialErrorJoinConfirm	Во время подтверждения участника команды что-то пошло не так. Повторите попытку или обратитесь в службу поддержки Bethesda.
$SocialErrorJoinFullTeam	Состав команды уже полон.
$SocialErrorListFindFriendByName	Не удалось найти пользователя Bethesda.net по имени {1}.
$SocialErrorListFriends	Что-то пошло не так во время синхронизации вашего списка друзей. Список друзей будет недоступен. Мы будем продолжать попытки в фоновом режиме, так что попробуйте зайти позже. Если проблема не будет устранена, обратитесь в службу поддержки Bethesda.
$SocialJoinLobbyNotFoundError	Эта команда расформирована
$SocialNotification_FriendAddedHeading	Друг добавлен
$SocialNotification_FriendRequestReceivedHeading	Получен запрос о дружбе
$SocialTeam_InviteeAlreadyInATeam	Нельзя пригласить игрока из другой команды
$SocialTeam_InviteeAlreadyTeamMember	Нельзя пригласить игрока из своей команды
$SocialTeam_InviteeBlocked	Нельзя создать команду с заблокированным игроком
$SocialTeam_InviteeCharGen	Нельзя создать команду с игроками, находящимися в Убежище 76
$SocialTeam_InviteeDifferentWorld	Нельзя пригласить игрока из другого мира
$SocialTeam_InviteeExpedition	Вы не можете присоединиться к команде во время экспедиции.
$SocialTeam_InviteeFirstPartyPrivilege	Этот игрок пока не принимает приглашения
$SocialTeam_PromoteFail	Вашего соратника сейчас нельзя повысить.
$SORT	СОРТИРОВАТЬ
$SORT_ACC	СОРТ. (МЕТК.)
$SORT_DMG	СОРТ. (УР.)
$SORT_RNG	СОРТ. (ДАЛЬН.)
$SORT_ROF	СОРТ. (СКОР.)
$SORT_SPL	СОРТ. (ТРОФ.)
$SORT_SW	СОРТ. (ОБЩИЙ ВЕС)
$SORT_VAL	СОРТ. (ЦЕН.)
$SORT_WT	СОРТ. (ВЕС)
$SORT_BUYER	СОРТ. (ПОКУП.)
$SORT_ITEM	СОРТ. (ПРЕДМ.)
$SORT_DATE	СОРТ. (ДАТА)
$SORT_CAPS	СОРТ. (КРЫШКИ)
$SORT_TIME	СОРТ. (НЕДАВН.)
$SORT_ALPHA	СОРТ. (АЛФ.)
$SPACEBAR)	ПРОБЕЛ)
$SPAWNINGENDS	МАТЧ НАЧИНАЕТСЯ ЧЕРЕЗ
$SpawnPoint	Точка появления
$SpawnPointEncumbered	Точка появления (перегружена)
$SpeechToTextDesc	Преобразует в текст речь других игроков из вашего аудиоканала. Включает окно сообщений.
$SpeechToTextOption	Преобразование речи в текст
$SpeechToTextHistorySize	Размер истории преобразования речи в текст
$SpecialConfirmResetPoints	Отменить распределение очков и начать заново?
$SpecialIntroText	Расскажите нам о себе! "Волт-Тек" нужна подробная информация — только тогда мы сможем обеспечить вам счастливую жизнь.
$SpecialNameCharacter	Имя содержит запрещенные символы.
$SpecialNameEmpty	Вы должны дать имя своему персонажу.
$SpecialPointsRemaining	Вы должны распределить все очки.
$SPECIAL_LOADOUTS	БОЕКОМПЛЕКТЫ S.P.E.C.I.A.L.
$SPECIAL_LOADOUTS_DNAME	Название сборки по умолчанию
$SPECIAL_LOADOUTS_SLOTPURCHASE	Добавить боекомплект
$Special_Loadout_NW	Боекомплекты S.P.E.C.I.A.L. пока отключены.
$SPECTATOR	ЗРИТЕЛЬ
$Specularity Fade	Дист. отрисовки шейдеров
$speed	Скорость
$SPLOTCHY	НЕРОВНО
$Sprint	Ускорение
$STALEMATE	ПАТОВАЯ СИТУАЦИЯ
$Started	Начато
$StartNewExpedition	Начать новую экспедицию
$Start_Of_MiniSeason	Мини-сезон начался
$StartTracking	НАЧАТЬ ОТСЛЕЖИВАНИЕ
$StashboxUiName	ЯЩИК ДЛЯ РАЗБОРКИ
$StashIsFullMsg	Ящик с припасами полон.
$StashItemRemoved	{1} {2} удалены из вашего ящика с припасами.
$STAT	ПРМТ
$StatDurability	Прочность
$StatLevel	Ур.
$StatNonPlayerTradable	Не продается
$STATS	СТАТИСТИКА
$Status	Состояние
$STATUS:	СОСТОЯНИЕ:
$Stay_On_This_World	Остаться в этом мире
$STEAL	УКРАСТЬ
$Stimpak	СТИМУЛЯТОР
$STOP_CHAPTER	ОСТАНОВИТЬ ГЛАВУ {1}
$StopTracking	ПРЕКРАТИТЬ ОТСЛЕЖИВАНИЕ
$STORE	СОХРАНИТЬ
$STORE/REPLACE	СОХРАНИТЬ/ЗАМЕНИТЬ
$STORE/SCRAP	СОХРАНИТЬ/РАЗОБРАТЬ
$STORE/SCRAP/REPLACE	СОХРАНИТЬ/РАЗОБРАТЬ/ЗАМЕНИТЬ
$StoreAllJunk	ПЕРЕМЕСТИТЬ ВЕСЬ ХЛАМ
$StoreJunkFailNoFO1st	Для использования необходима подписка Fallout 1st.
$StoreJunkFailNoScrappableItems	Нет доступных предметов для авторазборки.
$TransferUnusedFailNoFO1st	Для использования необходима подписка Fallout 1st.
$TransferUnusedFailNoUnusedAmmo	Нет ненужных боеприпасов.
$StoreBalanceDisabled	Не удается подключиться к службам Атомной лавки. Попробуйте позже.
$STORED]	СОХРАНЕННЫЕ]
$StoreMenu_AvatarAlreadyEquiped	Аватар игрока уже установлен.
$StoreMenu_ChangePlayerIconTutorial	В категории "Значки" вы можете изменить свой текущий значок игрока, а также посмотреть все значки в продаже.
$StoreMenu_FailedToSetAvatar	Не удалось установить аватар игрока. Повторите попытку позже.
$StrafeLeft	Шаг влево
$StrafeRight	Шаг вправо
$Strangers	Незнакомцы
$StreamInstallCaption	Установка
$STRENGTH	СИЛА
$Strength	СИЛА
$StackWeight	Общий вес
$STYLE	СТИЛЬ
$SUBJPrepend	ТЕМА:
$Subscribe	Подписаться
$Subscribing	Подписываюсь...
$Subscribing...	Подписываюсь...
$SUBMIT	ОТПРАВИТЬ
$Submitting	Отправка…
$SUBTRACT	ВЫЧЕСТЬ
$Super Stimpak	Суперстимулятор
$SUPPORT	ПОДДЕРЖКА
$SURVIVALTENTZEUS	ПАЛАТКА ДЛЯ ВЫЖИВАНИЯ ¼
$SURVIVALTENTZEUSCOST	ПАЛАТКА ДЛЯ ВЫЖИВАНИЯ ¼ ({1} ±)
$SURVIVALTIME	ВРЕМЯ ВЫЖИВАНИЯ
$SWAPBABYLONCARD	СМЕНА
$SWITCH	ПЕРЕКЛЮЧИТЬСЯ
$SWITCHTOBUILD	СТРОИТЕЛЬСТВО
$SWITCHTOCRAFT	ИЗГОТОВЛЕНИЕ
$SWITCHTOMODIFY	МОДИФИКАЦИЯ
$SYRINGER	ИНЪЕКТОР
$TAG FOR SEARCH	ИСКАТЬ
$TAGGED	ОТМЕЧЕНО
$TAKE	ВЗЯТЬ
$TAKE ALL	ВЗЯТЬ ВСЕ
$TAKE PROFILE PIC	СНЯТЬ ФОТО ДЛЯ ПРОФИЛЯ
$TAKE SNAPSHOT	СДЕЛАТЬ СНИМОК
$TALK	ГОВОРИТЬ
$TARGET	ЦЕЛЬ
$TEAM	КОМАНДА
$Team	Команда
$Team Up, Trade, or Attack	Объединитесь в команду, начните обмен или сразитесь
$TeamConfirmMessageFollowToNewWorld	Выполнив это действие, вы вслед за своей командой перейдете в новый мир. Продолжить?
$TeamConfirmMessageLeaderNewWorld	Найти новый мир для вашей команды? В противном случае новый участник, {1}, будет исключен. Найти мир?
$TeamConfirmMessageLeave	Выполнив это действие, вы покинете свою команду. Продолжить?
$TeamConfirmTitleFollowToNewWorld	Следовать за командой?
$TeamConfirmTitleLeaderNewWorld	Найти новый мир?
$TeamConfirmTitleLeave	Покинуть команду?
$TEAMELIMINATION	КОМАНДА УНИЧТОЖЕНА
$TeamErrorCannotCreatePublicTeam	Нельзя создать публичную команду, состоя в другой команде
$TeamErrorInviteBlockedByPrivacy	В данный момент игрок не принимает запросы на добавление в команду.
$TeamErrorTargetInAnotherTeam	{1} уже в команде.
$TeamErrorTargetNameNotFound	Не удалось найти игрока {1}.
$TeamErrorTargetNotInYourTeam	{1} не является участником вашей команды.
$TeamInviteReceivedHeading	Получено приглашение в команду.
$TeamListUIStateDead	Покойник
$TeamListUIStateOffline	Не в сети
$Teammate	Соратник
$TeammateRewardXpCaps	Ваш соратник выполнил задание.
$TEAMPLACED	РАНГ КОМАНДЫ:
$TEAMPLACEMENT	РАЗМЕЩЕНИЕ КОМАНДЫ
$TeamRequestToJoinSent	Запрос на включение в команду направлен игроку {1}.
$TeamResultInviteNewWorldReceived	{1} приглашает вас в команду в новом мире.
$TeamResultInviteSameWorldReceived	{1} приглашает вас в команду.
$TeamResultInviteSent	Приглашение в команду отправлено игроку {1}.
$TeamResultOtherDeclinedInvite	Игрок {1} отклоняет приглашение в команду.
$TeamResultOtherJoined	{1} теперь в команде.
$TeamResultOtherLeft	Игрок {1} покидает команду.
$TeamResultOtherWasKicked	Из команды удален игрок {1}.
$TeamResultOtherWasPromoted	{1} теперь лидер команды.
$TeamResultRequestToJoinReceived	{1} хочет присоединиться к вашей команде.
$TeamResultYouDeclinedInvite	Вы отклонили приглашение в команду от игрока {1}.
$TeamResultYouJoined	Вы присоединились к команде.
$TeamResultYouLeft	Вы покинули команду.
$TeamResultYouWereKicked	Игрок {1} исключает вас из команды.
$TeamResultYouWerePromoted	Теперь вы лидер команды.
$TentPlacementBlocked	Здесь нельзя разместить палатку для выживания.
$Texture	Текстура
$Texture Category	Категория текстуры
$TextureQuality	Качество текстур
$TextToSpeechOption	Преобразование текста в речь
$TextToSpeechOptionDesc	Включает синтез речи для текстового чата. Зачитывает текстовые сообщения чата в активном аудиоканале. Включает окно сообщений.
$TextToSpeechVoiceText	Голос, зачитывающий текст
$TextToSpeechVoiceDesc	Позволяет выбрать тип голоса для экранного диктора и для преобразования текста в речь.
$TextToSpeechVoiceSpeedOptionText	Скорость зачитывания текста
$TextToSpeechVoiceSpeedOptionDesc	Скорость зачитывания текста
$TextToSpeechVoiceVolume	Громкость зачитывания текста
$TextToSpeechVoiceOption1	Тип голоса 1
$TextToSpeechVoiceOption2	Тип голоса 2
$TextToSpeechVoiceTest	Война никогда не меняется.
$THIN	Стройность
$Tickets	Инциденты
$Time Last Played	ВРЕМЯ ПОСЛЕДНЕЙ ИГРЫ:
$Time Played	ВРЕМЕНИ В ИГРЕ:
$TimeAgo	{1} назад
$Time_Remain	Осталось: {1}
$TIMESURVIVED	ВРЕМЯ ВЫЖИВАНИЯ
$Tints	Оттенки	
$TO PLACE	РАЗМЕСТИТЬ
$TO STEAL	ШАНС КРАЖИ
$TOGGLE	ПЕРЕКЛЮЧИТЬ
$Toggle Edit	Режим редактирования
$Toggle Edit2	Режим размещения
$TOGGLE MENU	СКРЫТЬ/ПОКАЗАТЬ МЕНЮ
$ToggleActive	ВКЛ/ОТКЛ АКТИВНОЕ
$ToggleAim	Вкл./откл. прицеливание
$ToggleAlwaysRun	Постоянный бег
$TOGGLEATXITEMS	ПОКА ЗАБЛОКИРОВАНО
$TOGGLEBUILDABLEOBJECTS	СКРЫТЬ/ПОКАЗАТЬ ОБЪЕКТЫ
$TOGGLECRAFTABLEITEMS	ДОСТУПНО ДЛЯ СОЗДАНИЯ
$TOGGLEINVITE	ВЫБРАТЬ ПРИГЛАШЕНИЕ
$TogglePOV	Переключение вида/мастерская
$ToggleQuickboyButton	ВИД
$TOGGLESELECTED	ПЕРЕКЛЮЧИТЬ ВЫБРАННОЕ
$TOQUICKACCOUNT	СОЗДАТЬ УЧЕТНУЮ ЗАПИСЬ
$TOSIGNIN	ВОЙТИ
$TOTAL COST	ОБЩАЯ СТОИМОСТЬ
$TOTAL_TIME	ОБЩЕЕ ВРЕМЯ
$TOTAL_TIME:	ОБЩЕЕ ВРЕМЯ: {1}
$TRACK	ОТСЛЕЖИВАНИЕ
$TRACKED	ОТСЛЕЖИВАЕТСЯ
$Tracker	Следит
$TrackQuestPipboy	Отслеживать задание на пип-бое
$TRADE	ОБМЕН
$TradeFail_ExcessiveTrade	Сделка не прошла: слишком много попыток. Попробуйте немного позже.
$TradeFail_ItemChanged	Сведения о наличии предмета изменились. Пожалуйста, перезапустите торговую сессию.
$TradeFail_NoCaps	Не хватает крышек.
